Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2000,2000,tonnes,229794,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2001,2001,tonnes,258363,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2002,2002,tonnes,300225,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2003,2003,tonnes,284971,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2004,2004,tonnes,275123,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2005,2005,tonnes,250543,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2006,2006,tonnes,256618,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2007,2007,tonnes,245471,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2008,2008,tonnes,237011,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2009,2009,tonnes,263146,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2010,2010,tonnes,212902,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2011,2011,tonnes,247229,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2012,2012,tonnes,220761,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2013,2013,tonnes,287314,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2014,2014,tonnes,273721,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2015,2015,tonnes,324994,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2016,2016,tonnes,241611,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2017,2017,tonnes,329371,,Official data
